"","leg","start","end","duration","amplitude.male","velocity.male","visual.angle","visual.velocity","distance","id","treat"
"16","left",470,527,0.475,29.3385138454148,61.7652923061364,4.13456373214827,8.70434469925952,25.1098866944114,"1854","1.5x"
"17","left",545,598,0.441666666666667,-14.7575755662364,33.4133786405352,1.94239962517088,4.39788594378312,25.2389605532946,"1854","1.5x"
"18","left",612,624,0.1,12.71117190352,127.1117190352,1.5069011626416,15.069011626416,25.6341759459369,"1854","1.5x"
"19","left",658,720,0.516666666666667,-35.4063278451139,68.5283764744141,5.73878865930678,11.1073328889809,25.8897949397275,"1854","1.5x"
"20","left",743,793,0.416666666666667,32.3630673706342,77.6713616895221,4.67156513896397,11.2117563335135,25.847421366599,"1854","1.5x"
"21","left",800,892,0.766666666666667,-50.7506785121397,66.1965371897475,6.9959176342627,9.12510995773395,25.9267104820974,"1854","1.5x"
"22","left",892,948,0.466666666666667,49.4444950428451,105.952489377525,7.37109602670798,15.7952057715171,25.9267214815691,"1854","1.5x"
"23","left",1020,1041,0.175,-4.76133591678197,27.2076338101827,1.01725155002798,5.81286600015989,26.5112611523582,"1854","1.5x"
"24","left",1055,1092,0.308333333333333,25.9316866855006,84.1027676286505,3.15067611098502,10.2184090086001,26.7969097116376,"1854","1.5x"
"25","left",1100,1168,0.566666666666667,-54.7399238691548,96.5998656514497,7.93887668614686,14.009782387318,27.0771952635972,"1854","1.5x"
"26","left",1186,1244,0.483333333333333,54.9142795274316,113.61575074641,7.83115523746619,16.2023901464818,27.0468676303731,"1854","1.5x"
"27","left",1253,1340,0.725,-57.1588278350373,78.8397625310859,9.28702001509636,12.8096827794433,27.4601388902928,"1854","1.5x"
"28","left",1347,1389,0.35,26.778412358652,76.5097495961485,4.40829623735734,12.5951321067353,27.50346002632,"1854","1.5x"
"29","left",1452,1521,0.575,38.0697263393946,66.2082197206863,5.32894447255289,9.26772951748328,27.5062812377535,"1854","1.5x"
"30","left",1556,1606,0.416666666666667,16.8689205549378,40.4854093318507,1.3671539848413,3.28116956361911,28.4382925384428,"1854","1.5x"
"31","left",1650,1722,0.6,-46.7721943219653,77.9536572032754,6.75624586187757,11.260409769796,29.0965459366293,"1854","1.5x"
"32","left",1739,1813,0.616666666666667,43.232217898049,70.1062992941335,5.8267681352827,9.44881319235032,29.0023411152315,"1854","1.5x"
"33","left",1821,1825,0.0333333333333333,-11.2070179377989,336.210538133966,1.26355371549914,37.9066114649742,29.1613092195068,"1854","1.5x"
"34","right",36,89,0.441666666666667,25.6356049744769,58.0428791874949,6.67262401622894,15.1078279612731,25.0145148844804,"1854","1.5x"
"35","right",95,162,0.558333333333333,-24.4990278632594,43.8788558744945,3.91766132699587,7.01670685432097,25.1476603951208,"1854","1.5x"
"36","right",167,215,0.4,45.9826278632658,114.956569658165,6.87122982868082,17.1780745717021,25.1876461239747,"1854","1.5x"
"37","right",240,293,0.441666666666667,-43.7355305271435,99.0238427029664,8.67043708199422,19.6311782988548,25.2063893792283,"1854","1.5x"
"38","right",298,354,0.466666666666667,36.0766184297864,77.3070394923995,7.82542538416765,16.7687686803592,25.0257831126834,"1854","1.5x"
"39","right",362,374,0.1,-12.2139154456946,122.139154456946,1.60024167345312,16.0024167345312,25.1670411427907,"1854","1.5x"
"40","right",391,402,0.0916666666666667,14.8818844176404,162.347830010623,1.82391144141177,19.897215724492,25.2408423517453,"1854","1.5x"
"41","right",408,464,0.466666666666667,-31.4646085100609,67.4241610929877,4.69830561344906,10.0677977431051,25.163378756357,"1854","1.5x"
"42","right",470,518,0.4,37.6099448819822,94.0248622049556,5.44639288909742,13.6159822227435,25.1098866944114,"1854","1.5x"
"43","right",545,571,0.216666666666667,10.2907544026536,47.4957895507089,1.29146482704169,5.96060689403858,25.2389605532946,"1854","1.5x"
"44","right",580,606,0.216666666666667,-25.7675116852699,118.926977008938,3.95020613268314,18.2317206123837,25.4985355758056,"1854","1.5x"
"45","right",612,661,0.408333333333333,35.0696685016844,85.8849024531046,4.46748909176263,10.9407896124799,25.6341759459369,"1854","1.5x"
"46","right",666,731,0.541666666666667,-53.863950378692,99.4411391606622,7.47634884751671,13.8024901800308,25.825208203143,"1854","1.5x"
"47","right",743,785,0.35,44.7642583865396,127.897881104399,6.47603691439885,18.5029626125682,25.847421366599,"1854","1.5x"
"48","right",791,820,0.241666666666667,-44.5845961217487,184.487983952063,6.27653691134046,25.9718768745123,26.0174486076292,"1854","1.5x"
